RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,Mayor – City of Allen - Baine Brooks,Baine Brooks,5583,Colin
Mayor – City of Allen,Mayor – City of Allen.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Allen,Mayor – City of Allen.2 - UNDER VOTES,UNDER VOTES,1322,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen - Nathan Polsky",Nathan Polsky,1559,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.1 - Tommy Baril",Tommy Baril,4472,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.3 - UNDER VOTES",UNDER VOTES,874,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna - Bryan F. Heath",Bryan F. Heath,151,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.1 - Stan Carver II",Stan Carver II,351,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.2 - Kelly Herndon",Kelly Herndon,238,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.3 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.4 - UNDER VOTES",UNDER VOTES,53,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna - Elden Baker",Elden Baker,389,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.1 - Danny Ussery",Danny Ussery,340,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.3 - UNDER VOTES",UNDER VOTES,64,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton - Steve Babick,Steve Babick,1,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.1 - Young Sung,Young Sung,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.2 - Adam Polter,Adam Polter,7,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.4 - UNDER VOTES,UNDER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton - Jason Carpenter",Jason Carpenter,4,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.1 - Eddie Lopez",Eddie Lopez,2,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,2,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton - Andrew Palacios",Andrew Palacios,3,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.1 - Brittney Verdell",Brittney Verdell,4,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,1,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton - Mike Dooling",Mike Dooling,3,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.1 - Daisy Palomo",Daisy Palomo,3,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,2,Colin
Mayor – City of Celina,Mayor – City of Celina - Ryan Tubbs,Ryan Tubbs,805,Colin
Mayor – City of Celina,Mayor – City of Celina.1 - Sean Terry,Sean Terry,748,Colin
Mayor – City of Celina,Mayor – City of Celina.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Celina,Mayor – City of Celina.3 - UNDER VOTES,UNDER VOTES,76,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina - KJ Clark",KJ Clark,639,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.1 - Wendie Wigginton",Wendie Wigginton,844,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.3 - UNDER VOTES",UNDER VOTES,146,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina - Mindy Koehne",Mindy Koehne,1116,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina.2 - UNDER VOTES",UNDER VOTES,513,Colin
Mayor – City of Dallas,Mayor – City of Dallas - Eric Johnson,Eric Johnson,1188,Colin
Mayor – City of Dallas,Mayor – City of Dallas.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Dallas,Mayor – City of Dallas.2 - UNDER VOTES,UNDER VOTES,283,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas - Cara Mendelsohn",Cara Mendelsohn,1300,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas.1 - OVER VOTES",OVER VOTES,0,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas.2 - UNDER VOTES",UNDER VOTES,226,Colin
